"filename", "language", "Python", "Ignore", "Ini", "Shell Script", "YAML", "Markdown", "Docker", "pip requirements", "JavaScript", "CSS", "XML", "JSON", "HTML", "CSV", "comment", "blank", "total"
"d:\IMDB\Licenta\app.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\IMDB\Licenta\backend\.dockerignore", "Ignore", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\IMDB\Licenta\backend\10000-MTV-Music-Artists-page-1.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3000, 0, 1, 3001
"d:\IMDB\Licenta\backend\10000-MTV-Music-Artists-page-2.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3001, 0, 1, 3002
"d:\IMDB\Licenta\backend\10000-MTV-Music-Artists-page-3.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1330, 0, 0, 1330
"d:\IMDB\Licenta\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\IMDB\Licenta\backend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\IMDB\Licenta\backend\app.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 80
"d:\IMDB\Licenta\backend\apps\__init__.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 6, 39
"d:\IMDB\Licenta\backend\apps\api\__init__.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 36
"d:\IMDB\Licenta\backend\apps\api\controllers\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\IMDB\Licenta\backend\apps\api\controllers\album_controller.py", "Python", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 15, 98
"d:\IMDB\Licenta\backend\apps\api\controllers\artist_controller.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 20, 139
"d:\IMDB\Licenta\backend\apps\api\controllers\auth_controller.py", "Python", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 25, 162
"d:\IMDB\Licenta\backend\apps\api\controllers\image_controller.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 13, 72
"d:\IMDB\Licenta\backend\apps\api\controllers\profile_controller.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 41
"d:\IMDB\Licenta\backend\apps\api\controllers\rating_controller.py", "Python", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 25, 182
"d:\IMDB\Licenta\backend\apps\api\dto\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
